t,x,y,z
1,268.92,332.29,3.7825
1,345.96,502.36,5.4485
1,381.83,352.82,4.1066
1,386.89,375.52,4.1879
1,269.17,18.51,3.8182
1,281.28,211.04,6.1095
1,319.56,438.2,4.06
1,379.14,338.67,5.36
1,378.41,487.58,4.8642
1,397.91,444.62,4.8023
1,331.47,483.66,5.9744
1,346.04,511.22,6.8869
1,255.46,629.64,6.0652
1,256.96,555.39,5.0037
1,267.71,106.98,4.8633
1,269.82,49.481,5.2725
1,275.36,8.0467,4.957
1,275.3,525.18,5.3737
1,277.54,473.38,4.7641
1,281.1,222.0,8.0245
1,316.61,465.17,5.6928
1,320.87,476.61,5.6763
1,335.45,351.84,6.523
1,344.71,340.03,6.8101
1,357.62,331.46,5.9582
1,392.0,364.68,4.9428
1,254.37,701.28,6.6058
1,255.66,646.77,7.3019
1,261.29,534.1,6.5659
1,268.44,253.28,5.8682
1,270.35,230.05,7.1766
1,281.68,140.65,6.6403
1,288.89,334.67,6.0303
1,302.91,354.47,6.8435
1,398.05,371.81,6.551
1,257.31,676.02,7.558
1,258.05,623.07,7.4983
1,269.12,146.99,6.6823
1,270.02,125.01,6.8974
1,271.78,29.509,6.4171
1,273.11,473.87,4.9218
1,274.67,635.19,7.2978
1,278.74,319.12,5.345
1,283.86,259.5,7.3861
1,283.78,691.31,8.5757
1,284.99,152.51,8.4913
1,313.65,430.4,6.9522
1,321.91,363.7,6.6059
1,331.21,523.65,9.7376
1,364.48,523.12,8.8659
1,379.52,325.09,7.6713
1,258.02,669.9,9.1111
1,258.7,641.8,9.0076
1,270.43,142.44,6.8308
1,270.11,183.14,7.8311
1,283.23,81.902,8.4066
1,299.74,355.94,7.9657
1,311.2,482.88,9.8009
1,311.55,393.82,8.5869
1,312.34,419.94,9.1733
1,401.91,473.03,8.7164
1,412.84,414.09,8.9157
1,413.49,447.43,9.0139
1,262.54,596.45,8.1618
1,271.34,233.29,8.3446
1,272.91,76.609,8.6123
1,274.31,47.913,8.4508
1,305.4,380.72,8.2493
1,319.99,507.98,9.3879
1,322.82,243.46,9.7698
1,362.88,531.69,11.384
1,365.8,314.61,10.181
1,398.96,479.82,9.4358
1,259.67,689.62,10.644
1,272.44,488.01,9.2409
1,272.76,257.75,9.2689
1,274.08,198.52,10.345
1,274.28,402.06,8.4589
1,275.92,61.112,10.491
1,285.94,13.916,10.207
1,286.78,93.958,10.817
1,299.49,386.71,10.163
1,343.87,531.91,13.312
1,349.24,311.24,11.012
1,408.54,433.75,9.9093
1,294.84,221.87,13.783
1,302.22,436.96,11.394
1,309.96,514.05,11.512
1,314.65,327.82,11.903
1,316.57,543.74,11.953
1,323.85,551.53,12.984
1,344.67,555.28,12.555
1,370.58,307.34,11.96
1,375.22,311.74,11.955
1,407.01,358.31,11.447
1,422.76,420.13,11.64
1,264.19,667.59,13.887
1,269.67,555.54,10.846
1,271.0,616.48,12.798
1,276.27,166.08,12.031
1,275.36,226.26,10.132
1,280.36,284.43,10.782
1,279.02,427.21,12.743
1,282.75,465.35,11.697
1,283.96,657.43,13.848
1,292.04,64.659,12.646
1,293.14,295.99,12.357
1,295.06,157.23,13.296
1,302.24,456.44,12.529
1,366.05,539.08,14.776
1,408.68,357.57,11.9
1,270.53,354.73,13.443
1,279.55,215.65,13.071
1,280.74,40.383,12.903
1,283.8,473.55,11.474
1,293.55,131.87,13.829
1,298.82,188.02,14.355
1,402.24,333.72,14.36
1,404.31,494.34,14.886
1,269.65,359.16,14.206
1,269.79,367.63,14.816
1,281.63,641.7,16.895
1,284.15,565.36,15.417
1,285.71,25.489,13.446
1,297.14,413.89,14.638
1,297.31,424.16,15.387
1,300.67,243.49,16.628
1,303.7,251.43,15.582
1,328.67,313.41,13.92
1,377.16,296.48,16.515
1,389.62,309.37,15.045
1,420.11,389.73,14.942
1,268.64,648.39,15.42
1,276.26,608.92,15.759
1,282.19,114.72,15.045
1,285.8,456.39,14.586
1,294.15,99.859,15.793
1,295.19,123.2,16.609
1,303.15,558.98,18.137
1,307.24,267.89,16.355
1,308.47,551.46,16.884
1,318.23,304.21,17.609
1,318.66,576.81,15.894
1,338.46,302.6,16.42
1,339.26,300.05,16.539
1,352.56,569.75,17.802
1,401.71,502.64,16.069
1,408.23,495.23,16.637
1,437.02,443.41,15.213
1,268.09,669.03,16.457
1,272.62,619.75,14.763
1,277.34,506.59,15.346
1,280.15,492.77,15.412
1,283.84,158.7,15.77
1,284.87,190.47,14.659
1,285.12,624.79,17.833
1,299.83,504.6,20.301
1,345.3,289.85,17.409
1,358.97,282.8,17.694
1,448.09,443.59,16.915
1,269.85,673.21,17.332
1,284.32,176.54,17.164
1,286.04,336.64,15.49
1,287.6,70.289,15.459
1,289.79,35.982,16.292
1,308.0,251.32,18.067
1,334.07,295.68,18.059
1,387.07,288.77,18.268
1,279.7,587.11,18.127
1,286.55,255.96,16.997
1,287.3,553.3,17.991
1,293.66,357.4,17.653
1,324.53,291.65,18.655
1,334.69,587.57,21.299
1,359.78,571.55,20.313
1,375.31,276.38,19.309
1,377.29,553.28,19.351
1,419.08,350.61,18.734
1,425.55,484.7,20.162
1,426.6,372.08,18.777
1,272.45,681.1,19.049
1,282.93,641.34,18.977
1,287.43,254.6,17.789
1,288.68,447.96,20.051
